dataset	accelerator	caching	average_rate_samples_per_s	wall_time_s	avg_rate_x_wall
arxiv	1gpu	cache	165,576.60	33.2028	5,497,607
arxiv	1gpu	not	114,749.04	40.9752	4,701,865
arxiv	wse	cache	2,475.21	810.8564	2,007,040
arxiv	wse	not	2,503.02	801.8478	2,007,041
mag	1gpu	cache	63,218.47	188.4395	11,912,857
mag	1gpu	not	35,702.04	313.4477	11,190,722
mag	wse	cache	2,304.57	4,425.5768	10,199,052
mag	wse	not	2,267.06	4,498.7875	10,199,021
products	1gpu	cache	28,089.41	167.5306	4,705,836
products	1gpu	not	18,183.16	248.3548	4,515,875
products	wse	cache	1,445.58	2,805.1273	4,055,036
products	wse	not	1,403.88	2,888.4425	4,055,027
